name,birthdate,birth_name,birth_place,birth_region,birth_country,height_meters,nickname
Tom Brady,1977-08-03,Thomas Edward Patrick Brady Jr.,San Mateo,California,USA,1.94,California Cool
Dennis Rodman,1961-05-13,Dennis Keith Rodman,Trenton,New Jersey,USA,2.03,The Worm
Richard Lewis,1947-06-29,Richard Philip Lewis,Brooklyn,New York,USA,1.75,The Prince of Pain
David Letterman,1947-04-12,David Michael Letterman,Indianapolis,Indiana,USA,1.88,The Big Man
Paul Rudd,1969-04-06,Paul Stephen Rudd,Passaic,New Jersey,USA,1.78,Fred
R. Lee Ermey,1944-03-24,Ronald Lee Ermey,Emporia,Kansas,USA,1.83,The Gunny
Chris Kirkpatrick,1971-10-17,Christopher Alan Kirkpatrick,Clarion,Pennsylvania,USA,1.75,Tricky
Jack Black,1969-08-28,Thomas Jacob Black,Hermosa Beach,California,USA,1.68,JB
Justin Timberlake,1981-01-31,Justin Randall Timberlake,Memphis,Tennessee,USA,1.85,JT
Hugh Hefner,1926-04-09,Hugh Marston Hefner,Chicago,Illinois,USA,1.75,The Pajama Man
RZA,1969-07-05,Robert Fitzgerald Diggs,New York City,New York,USA,1.88,Prince Rakeem
John Kricfalusi,1955-09-09,Michael John Kricfalusi,Chicoutimi,Québec,Canada,1.8,Raymond Spum
Troy Aikman,1966-11-21,Troy Kenneth Aikman,West Covina,California,USA,1.92,Roy
Stephen Curry,1988-03-14,Wardell Stephen Curry II,Akron,Ohio,USA,1.88,Steph
Patrick McGoohan,1928-03-19,Patrick Joseph McGoohan,New York City,New York,USA,1.85,Pat
James Woods,1947-04-18,James Howard Woods,Vernal,Utah,USA,1.8,Jimmy
Jennifer Tilly,1958-09-16,Jennifer Ellen Chan,Harbor City,California,USA,1.7,The Unabombshell
Steven Tyler,1948-03-26,Steven Victor Tallarico,Yonkers,New York,USA,1.75,Demon Of Screamin
Robert Evans,1930-06-29,Robert J. Shapera,New York City,New York,USA,1.75,Bobby
Don Mattingly,1961-04-20,Donald Arthur Mattingly,Evansville,Indiana,USA,1.83,Donnie Baseball
Britney Spears,1981-12-02,Britney Jean Spears,McComb,Mississippi,USA,1.63,Brit
Robert Trujillo,1964-10-23,Roberto Agustín Miguel Santiago Samuel Trujillo Veracruz,Santa Monica,California,USA,1.75,The Whiskey Warlord
Tony Blair,1953-05-06,Anthony Charles Lynton Blair,Lothian,Scotland,UK,1.83,Phoney Tony
Lili Reinhart,1996-09-13,Lili Pauline Reinhart,Cleveland,Ohio,USA,1.68,Lil
Warren Sapp,1972-12-19,Warren Carlos Sapp,Orlando,Florida,USA,1.88,QBK
Julia Louis-Dreyfus,1961-01-13,Julia Elizabeth Scarlett Louis-Dreyfus,New York City,New York,USA,1.6,Little Yum-Yum
Tony Hadley,1960-06-02,Anthony Patrick Hadley,London,England,UK,1.93,Foghorn
David L. Lander,1947-06-22,David Leonard Landau,Brooklyn,New York,USA,1.6,Squiggy
RuPaul,1960-11-17,RuPaul Andre Charles,San Diego,California,USA,1.93,Glamazon
Lucy Lawless,1968-03-29,Lucille Francis Ryan,Mount Albert,Auckland,New Zealand,1.77,Luce
Simon Cowell,1959-10-07,Simon Phillip Cowell,London,England,UK,1.74,Mr. Nasty
Sarah Silverman,1970-12-01,Sarah Kate Silverman,Bedford,New Hampshire,USA,1.7,Big S
Stephen King,1947-09-21,Stephen Edwin King,Portland,Maine,USA,1.93,The King of Horror
Bobcat Goldthwait,1962-05-26,Robert Francis Goldthwait,Syracuse,New York,USA,1.7,The Bobcat
George Carlin,1937-05-12,George Denis Patrick Carlin,New York City,New York,USA,1.75,Georgie Porgie
Christopher Lloyd,1938-10-22,Christopher Allen Lloyd,Stamford,Connecticut,USA,1.85,Chris
Willie Nelson,1933-04-29,Willie Hugh Nelson,Abbott,Texas,USA,1.68,Willie the Weedman
Michael Keaton,1951-09-05,Michael John Douglas,Coraopolis,Pennsylvania,USA,1.75,Michael Douglas
Regis Philbin,1931-08-25,Regis Francis Xavier Philbin,New York City,New York,USA,1.7,Reege
Steve Coogan,1965-10-14,Stephen John Coogan,Manchester,England,UK,1.79,Steve
Liev Schreiber,1967-10-04,Isaac Liev Schreiber,San Francisco,California,USA,1.91,Huggy
Alex Rocco,1936-02-29,Alessandro Federico Petricone Jr.,Cambridge,Massachusetts,USA,1.83,Bobo
Jerry Lewis,1926-03-16,Jerome Joseph Levitch,Newark,New Jersey,USA,1.79,The King of Comedy
Kevin Smith,1970-08-02,Kevin Patrick Smith,Red Bank,New Jersey,USA,1.73,Moves
Tim Conway,1933-12-15,Thomas Daniel Conway,Willoughby,Ohio,USA,1.68,Timmy
Terry Bradshaw,1948-09-02,Terry Paxton Bradshaw,Shreveport,Louisiana,USA,1.85,The Blond Bomber
Eartha Kitt,1927-01-17,Eartha Mae Keith,North,South Carolina,USA,1.57,Catwoman
Steve Buscemi,1957-12-13,Steven Vincent Buscemi,New York City,New York,USA,1.75,Busc
Snoop Dogg,1971-10-20,Calvin Cordozar Broadus,Long Beach,California,USA,1.93,Snoop-A-Loop
Lance Armstrong,1971-09-18,Lance Edward Gunderson,Dallas,Texas,USA,1.77,Tour de Lance
Betty White,1922-01-17,Betty Marion White,Oak Park,Illinois,USA,1.63,Grand Dame of Television
Justin Bieber,1994-03-01,Justin Drew Bieber,London,Ontario,Canada,1.75,JB
Anne Hathaway,1982-11-12,Anne Jacqueline Hathaway,New York City,New York,USA,1.73,Annie
Joshua Jackson,1978-06-11,Joshua Browning Jackson Carter,Vancouver,British Columbia,Canada,1.85,Josh
Randy Jackson,1956-06-23,Randall Darius Jackson,Baton Rouge,Louisiana,USA,1.74,The Dawg
Camila Mendes,1994-06-29,Camila Carraro Mendes,Charlottesville,Virginia,USA,1.57,Cami
Anderson Cooper,1967-06-03,Anderson Hays Cooper,New York City,New York,USA,1.78,Coop
William H. Macy,1950-03-13,William Hall Macy Jr.,Miami,Florida,USA,1.73,Willie
Jack White,1975-07-09,John Anthony Gillis,Detroit,Michigan,USA,1.85,Three Quid
John Williams,1932-02-08,John Towner Williams,New York City,New York,USA,1.82,Johnny
Edward Norton,1969-08-18,Edward Harrison Norton,Boston,Massachusetts,USA,1.83,Ed
David Crosby,1941-08-14,David Van Cortlandt Crosby,Los Angeles,California,USA,1.73,Crosby
Billy Boyd,1968-08-28,William Boyd,Glasgow,Scotland,UK,1.69,Bill
Rashida Jones,1976-02-25,Rashida Leah Jones,Los Angeles,California,USA,1.63,Rash or Rashi
Bob Hope,1903-05-29,Lester Townes Hope,London,England,UK,1.78,Old Ski Nose
Hank Williams Jr.,1949-05-26,Randall Hank Williams,Shreveport,Louisiana,USA,1.88,Bocephus
Elizabeth Taylor,1932-02-27,Elizabeth Rosemond Taylor,London,England,UK,1.63,La Liz
Tony Hawk,1968-05-12,Anthony Frank Hawk,Carlsbad,California,USA,1.91,Birdman
Pat Benatar,1953-01-10,Patricia Mae Andrzejewski,Brooklyn,New York,USA,1.52,Patti-B
Chuck Liddell,1969-12-17,Charles David Liddell,Santa Barbara,California,USA,1.85,The Iceman
Elton John,1947-03-25,Reginald Kenneth Dwight,London,England,UK,1.72,The Rocket Man
Stan Lee,1922-12-28,Stanley Martin Lieber,New York City,New York,USA,1.75,Generalissimo
Joe C.,1974-11-09,Joseph Michael Calleja,Taylor,Michigan,USA,1.14,Joe C.
Lilly Singh,1988-09-26,Lilly Saini Singh,Toronto,Ontario,Canada,1.65,Superwoman
Jonathan Groff,1985-03-26,Jonathan Drew Groff,Lancaster,Pennsylvania,USA,1.8,Jon
Tom Jones,1940-06-07,Thomas John Woodward,Pontypridd,Wales,UK,1.79,Tiger
Brooke Shields,1965-05-31,Brooke Christa Shields,New York City,New York,USA,1.8,Brookie
Zooey Deschanel,1980-01-17,Zooey Claire Deschanel,Los Angeles,California,USA,1.65,Zuzu
Mandy Patinkin,1952-11-30,Mandel Bruce Patinkin,Chicago,Illinois,USA,1.82,The Patink
Michael Moore,1954-04-23,Michael Francis Moore,Flint,Michigan,USA,1.83,The Big Man
Joe Perry,1950-09-10,Anthony Joseph Pereira,Lawrence,Massachusetts,USA,1.75,King Of Cool
Audrey Meadows,1922-02-08,Audrey Meadows Cotter,New York City,New York,USA,1.68,Aud
Fred Armisen,1966-12-04,Fereydun Robert Armisen,Hattiesburg,Mississippi,USA,1.74,Army
Linda Ronstadt,1946-07-15,Linda Maria Ronstadt,Tucson,Arizona,USA,1.6,The Queen of Rock
David Duchovny,1960-08-07,David William Duchovny,New York City,New York,USA,1.83,Dave
Lance Bass,1979-05-04,James Lance Bass,Laurel,Mississippi,USA,1.75,Lansten
John Lithgow,1945-10-19,John Arthur Lithgow,Rochester,New York,USA,1.93,Jiggles
Jerry Springer,1944-02-13,Gerald Norman Springer,London,England,UK,1.83,Sultan of Salaciousness
Fantasia Barrino,1984-06-30,Fantasia Monique Barrino,High Point,North Carolina,USA,1.7,Bobo
Rudy Giuliani,1944-05-28,Rudolph William Louis Giuliani,Brooklyn,New York,USA,1.77,Rudy
Michelle Kwan,1980-07-07,Michelle Wing-Shan Kwan,Torrance,California,USA,1.57,"Shelley, Shelle"
Anthony Bourdain,1956-06-25,Anthony Michael Bourdain,New York City,New York,USA,1.93,Tony
J.C. Chasez,1976-08-08,Joshua Scott Chasez,Bowie,Maryland,USA,1.8,Big Daddy
Joan Rivers,1933-06-08,Joan Alexandra Molinsky,New York City,New York,USA,1.57,The Queen of the Barbed One-liners
Michael Stipe,1960-01-04,John Michael Stipe,Decatur,Georgia,USA,1.75,American Phil Collins
Peyton Manning,1976-03-24,Peyton Williams Manning,New Orleans,Louisiana,USA,1.97,Peytie Pie
Phil McGraw,1950-09-01,Phillip Calvin McGraw,Vinita,Oklahoma,USA,1.91,Doctor Phil
Emily Blunt,1983-02-23,Emily Olivia Leah Blunt,London,England,UK,1.7,Boop
Rodney Dangerfield,1921-11-22,Jacob Cohen,Long Island,New York,USA,1.79,Jack
Richard Branson,1950-07-18,Richard Charles Nicholas Branson,London,England,UK,1.83,Rich
Antonio Fargas,1946-08-14,Antonio Juan Fargas,New York City,New York,USA,1.85,Tony
Charles Barkley,1963-02-20,Charles Wade Barkley,Leeds,Alabama,USA,2.1,Sir Charles
Bryan Cranston,1956-03-07,Bryan Lee Cranston,Hollywood,California,USA,1.79,Lee Stone
Richard Nixon,1913-01-09,Richard Milhous Nixon,Yorba Linda,California,USA,1.82,Tricky Dick
June Foray,1917-09-18,June Lucille Forer,Springfield,Massachusetts,USA,1.5,The Cartoon Queen
Drew Barrymore,1975-02-22,Drew Blyth Barrymore,Culver City,California,USA,1.63,DB
Alyson Hannigan,1974-03-24,Alyson Lee Hannigan,Washington,District of Columbia,USA,1.64,Allycat
Jonathan Taylor Thomas,1981-09-08,Jonathan Taylor Weiss,Bethlehem,Pennsylvania,USA,1.68,JT
James Taylor,1948-03-12,James Vernon Taylor,Boston,Massachusetts,USA,1.91,Stringbean
Sammy Hagar,1947-10-13,Samuel Roy Hagar,Monterey,California,USA,1.78,Red Rocker
Cyndi Lauper,1953-06-22,Cynthia Ann Stephanie Lauper,New York City,New York,USA,1.6,Cyn
Ed Sheeran,1991-02-17,Edward Christopher Sheeran,Yorkshire,England,UK,1.72,Teddy
J.K. Rowling,1965-07-31,Joanne Rowling,Gloucestershire,England,UK,1.65,JKR
Joe Namath,1943-05-31,Joseph William Namath,Beaver Falls,Pennsylvania,USA,1.88,Broadway Joe
Frances McDormand,1957-06-23,Frances Louise McDormand,Gibson City,Illinois,USA,1.65,Fran
Amy Poehler,1971-09-16,Amy Meredith Poehler,Burlington,Massachusetts,USA,1.57,Cool Cat Amy
Shaquille O'Neal,1972-03-06,Shaquille Rashaun O'Neal,Newark,New Jersey,USA,2.15,Superman
Scott Bakula,1954-10-09,Scott Stewart Bakula,St. Louis,Missouri,USA,1.82,Bak
Wade Boggs,1958-06-15,Wade Anthony Boggs,Omaha,Nebraska,USA,1.88,The Chicken Man
James L. Brooks,1940-05-09,James Lawrence Brooks,Brooklyn,New York,USA,1.85,Jim
Russell Brand,1975-06-04,Russell Edward Brand,Essex,England,UK,1.87,Russ
Donald Faison,1974-06-22,Donald Adeosun Faison,New York City,New York,USA,1.81,Shun
Drew Pinsky,1958-09-04,David Drew Pinsky,Pasadena,California,USA,1.83,Dr. Drew
Joe Pantoliano,1951-09-12,Joseph Peter Pantoliano,Hoboken,New Jersey,USA,1.76,Joey Pants
Susan Sarandon,1946-10-04,Susan Abigail Tomalin,New York City,New York,USA,1.7,Sue
Johnny Cash,1932-02-26,J. R. Cash,Kingsland,Arkansas,USA,1.88,Man in Black
Wayne Gretzky,1961-01-26,Wayne Douglas Gretzky,Brantford,Ontario,Canada,1.83,The Great One
James Caan,1940-03-26,James Edmund Caan,The Bronx,New York,USA,1.76,Jimmy
Ted Nugent,1948-12-13,Theodore Anthony Nugent,Detroit,Michigan,USA,1.82,The Detroit Madman
Ed 'Too Tall' Jones,1951-02-23,Edward Lee Jones,Jackson,Tennessee,USA,2.08,Too Tall
Clarence Clemons,1942-01-11,Clarence Anicholas Clemons Jr.,Norfolk,Virginia,USA,1.96,Big Man
Lisa Kudrow,1963-07-30,Lisa Valerie Kudrow,Los Angeles,California,USA,1.73,Smart
Bronwen Barry,1955-12-19,Bronwen Anne Barry,Montreal,Quebec,Canada,1.73,Bronnie
Michael Jackson,1958-08-29,Michael Joseph Jackson,Gary,Indiana,USA,1.75,The Gloved One
Larry Hagman,1931-09-21,Larry Martin Hagman,Fort Worth,Texas,USA,1.85,Mad Monk of Malibu
Kaitlin Olson,1975-08-18,Kaitlin Willow Olson,Portland,Oregon,USA,1.71,Sweet Dee
Ernest Borgnine,1917-01-24,Ermes Effron Borgnino,Hamden,Connecticut,USA,1.75,Ernie
Larry Mullen Jr.,1961-10-31,Lawrence Joseph Mullen Jr.,Artane,Dublin,Ireland,1.7,Babyface Mullen
Paul Newman,1925-01-26,Paul Leonard Newman,Shaker Heights,Ohio,USA,1.77,King Cool
Conan O'Brien,1963-04-18,Conan Christopher O'Brien,Boston,Massachusetts,USA,1.93,Cone-Zone
Mark McGwire,1963-10-01,Mark David McGwire,Pomona,California,USA,1.96,Big Mac
James Brown,1933-05-03,James Joseph Brown,Barnwell,South Carolina,USA,1.65,Soul Brother Number One
Ryan Seacrest,1974-12-24,Ryan John Seacrest,Atlanta,Georgia,USA,1.71,Seacrest
Mark Zuckerberg,1984-05-14,Mark Elliot Zuckerberg,Dobbs Ferry,New York,USA,1.71,Zuck
Matt Willis,1983-05-08,Matthew James Willis,Kingston upon Thames,England,UK,1.8,Mattie
Ken Jennings,1974-05-23,Kenneth Wayne Jennings III,Edmonds,Washington,USA,1.78,Ken Jen
Kid Rock,1971-01-17,Robert James Ritchie,Romeo,Michigan,USA,1.83,Bob or Bobby
Kirk Hammett,1962-11-18,Kirk Lee Hammett,San Francisco,California,USA,1.71,The Ripper
Jay Leno,1950-04-28,James Douglas Muir Leno,New Rochelle,New York,USA,1.8,Hardest Working Man in Showbiz
Joe Montana,1956-06-11,Joseph Clifford Montana Jr.,New Eagle,Pennsylvania,USA,1.84,Joe Cool
John Waters,1946-04-22,John Samuel Waters Jr.,Baltimore,Maryland,USA,1.88,Pope of Trash
Gary Busey,1944-06-29,William Gary Busey,Goose Creek,Texas,USA,1.83,Barry Goosey
Jon Stewart,1962-11-28,Jonathan Stuart Leibowitz,New York City,New York,USA,1.7,Lefty
Dick Clark,1929-11-30,Richard Wagstaff Clark,Mount Vernon,New York,USA,1.73,The World's Oldest Teenager
Ashley Olsen,1986-06-13,Ashley Fuller Olsen,Sherman Oaks,California,USA,1.55,Ash
Kristen Bell,1980-07-18,Kristen Anne Bell,Huntington Woods,Michigan,USA,1.55,K-Bell
Pete Sampras,1971-08-12,Petros Sampras,Washington,District of Columbia,USA,1.85,Pistol Pete
Anne Bancroft,1931-09-17,Anna Maria Louise Italiano,New York City,New York,USA,1.68,Obi-Wan
Anthony Newley,1931-09-24,George Anthony Newley,London,England,UK,1.75,Tony
Peter Buck,1956-12-06,Peter Ernest Lawrence Buck,Oakland,California,USA,1.88,Buckland
Adam Clayton,1960-03-13,Adam Charles Clayton,Oxfordshire,England,UK,1.78,Sparky
Jason Alexander,1959-09-23,Jason Scott Greenspan,Newark,New Jersey,USA,1.64,Jay
Lady Gaga,1986-03-28,Stefani Joanne Angelina Germanotta,New York City,New York,USA,1.55,Mother Monster
Andy Serkis,1964-04-20,Andrew Clement G. Serkis,London,England,UK,1.73,Gollum
Benedict Cumberbatch,1976-07-19,Benedict Timothy Carlton Cumberbatch,London,England,UK,1.83,Ben
Bret Hart,1957-07-02,Bret Sergeant Hart,Calgary,Alberta,Canada,1.85,Hitman
Lisa Lampanelli,1961-07-19,Lisa Lampugnale,Trumbull,Connecticut,USA,1.74,Comedy's Queen of Mean
LeBron James,1984-12-30,LeBron Raymone James,Akron,Ohio,USA,2.06,King James
John Ratzenberger,1947-04-06,John Deszo Ratzenberger,Bridgeport,Connecticut,USA,1.77,Ratz
50 Cent,1975-07-06,Curtis James Jackson III,New York City,New York,USA,1.83,Interscope
Danica Patrick,1982-03-25,Danica Sue Patrick,Beloit,Wisconsin,USA,1.56,Dani
George Plimpton,1927-03-18,George Ames Plimpton,New York City,New York,USA,1.93,Prince of Cameos
Mickey Rooney,1920-09-23,Joseph Yule Jr.,New York City,New York,USA,1.57,The Mickster
Ellen Page,1987-02-21,Ellen Grace Philpotts-Page,Halifax,Nova Scotia,Canada,1.55,The Tiny Canadian
Little Richard,1932-12-05,Richard Wayne Penniman,Macon,Georgia,USA,1.78,The Bronze Liberace
Josh Groban,1981-02-27,Joshua Winslow Groban,Los Angeles,California,USA,1.78,Golden Grobes
Patrick Stewart,1940-07-13,Patrick Stewart,Yorkshire,England,UK,1.78,Old Baldy
Travis Barker,1975-11-14,Travis Landon Barker,Fontana,California,USA,1.75,Trav
Frank Welker,1946-03-12,Franklin Wendell Welker,Denver,Colorado,USA,1.73,Dr. Frankenwelker
Tom Colicchio,1962-08-15,Thomas Patrick Colicchio,Elizabeth,New Jersey,USA,1.77,Tommy
Jodie Foster,1962-11-19,Alicia Christian Foster,Los Angeles,California,USA,1.6,Jodie F
Ringo Starr,1940-07-07,Richard Starkey,Merseyside,England,UK,1.68,Ritchie
Randy Johnson,1963-09-10,Randall David Johnson,Walnut Creek,California,USA,2.08,Big Unit
Jane Fonda,1937-12-21,Lady Jayne Seymour Fonda,New York City,New York,USA,1.73,Hanoi Jane
Joe Frazier,1944-01-12,Joseph William Frazier,Beaufort,South Carolina,USA,1.82,Smokin' Joe
George Takei,1937-04-20,George Hosato Takei,Los Angeles,California,USA,1.68,Uncle George
Sam Simon,1955-06-06,Samuel Michael Simon,Los Angeles,California,USA,1.8,Simple
Matthew Perry,1969-08-19,Matthew Langford Perry,Williamstown,Massachusetts,USA,1.83,Matty
Leonard Nimoy,1931-03-26,Leonard Simon Nimoy,Boston,Massachusetts,USA,1.83,Lenny
Michael Chiklis,1963-08-30,Michael Charles Chiklis,Lowell,Massachusetts,USA,1.75,Chick or Chicky
Amber Riley,1986-02-15,Amber Patrice Riley,Los Angeles,California,USA,1.57,Mama A
Joey Ramone,1951-05-19,Jeffry Ross Hyman,Queens,New York,USA,1.98,RockJeff
Rob Halford,1951-08-25,Robert John Arthur Halford,West Midlands,England,UK,1.84,The Metal God
Kim Basinger,1953-12-08,Kimila Ann Basinger,Athens,Georgia,USA,1.72,Chelsea
Fran Drescher,1957-09-30,Francine Joy Drescher,New York City,New York,USA,1.64,Frannie
Weird Al' Yankovic,1959-10-23,Alfred Matthew Yankovic,Downey,California,USA,1.83,The Weird One
Chris Hansen,1959-03-26,Christopher Edward Hansen,Lansing,Michigan,USA,1.88,
Plácido Domingo,1941-01-21,José Plácido Domingo Embil,Madrid,,Spain,1.88,Placido Flamingo
Alex Trebek,1940-07-22,George Alexander Trebek,Sudbury,Ontario,Canada,1.8,
Ken Jeong,1969-07-13,Kendrick Kang-Joh Jeong,Detroit,Michigan,USA,1.65,
Sara Gilbert,1975-01-29,Sara Rebecca Abeles,Santa Monica,California,USA,1.57,
Dick Smothers,1939-11-20,Richard Remick Smothers,New York City,New York,USA,1.75,
Jim Jarmusch,1953-01-22,James R. Jarmusch,Akron,Ohio,USA,1.88,
Mike Scioscia,1958-11-27,Michael Lorri Scioscia,Upper Darby,Pennsylvania,USA,1.88,
Marky Ramone,1952-07-15,Marc Steven Bell,Brooklyn,New York,USA,1.78,
Alec Baldwin,1958-04-03,Alexander Rae Baldwin III,Long Island,New York,USA,1.8,
Barry Hansen,1941-04-02,Barret Hansen,Minneapolis,Minnesota,USA,,Doctor Demento
Russi Taylor,1944-05-04,Russell Taylor,Cambridge,Massachusetts,USA,1.55,
Jon Lovitz,1957-07-21,Jonathan Michael Lovitz,Tarzana,California,USA,1.76,
Taran Killam,1982-04-01,Taran Hourie Killam,Culver City,California,USA,1.84,
Adam Driver,1983-11-19,Adam Douglas Driver,San Diego,California,USA,1.89,
Butch Patrick,1953-08-02,Patrick Alan Lilley,Los Angeles,California,USA,1.7,
Carmen Electra,1972-04-20,Tara Leigh Patrick,Sharonville,Ohio,USA,1.59,
Lucy Liu,1968-12-02,Lucy Alexis Liu,New York City,New York,USA,1.6,
Andrea Martin,1947-01-15,Andrea Louise Martin,Portland,Maine,USA,1.63,
Andy Dick,1965-12-21,Andrew Roane Dick,Charleston,South Carolina,USA,1.78,
Zosia Mamet,1988-02-02,Zosia Russell Mamet,Randolph,Vermont,USA,1.63,
Jeffrey Ross,1965-09-13,Jeffrey Ross Lifschultz,,New Jersey,USA,1.79,Roast Master General
Woody Harrelson,1961-07-23,Woodrow Tracy Harrelson,Midland,Texas,USA,1.77,
Steve Shelley,1962-06-23,Steven Jay Shelley,Midland,Michigan,USA,1.7,
Elliott Gould,1938-08-29,Elliott Goldstein,New York City,New York,USA,1.91,
Kevin Pollak,1957-10-30,Kevin Elliot Pollak,San Francisco,California,USA,1.65,
Gordon Ramsay,1966-11-08,Gordon James Ramsay,Glasgow,Scotland,UK,1.88,
Mandy Moore,1984-04-10,Amanda Leigh Moore,Nashua,New Hampshire,USA,1.78,
John Updike,1932-03-18,John Hoyer Updike,Shillington,Pennsylvania,USA,1.91,
Grey Griffin,1973-08-24,Erin Grey Van Oosbree,Fort Ord,California,USA,1.6,
Willem Dafoe,1955-07-22,William J. Dafoe,Appleton,Wisconsin,USA,1.75,
Peter Serafinowicz,1972-07-10,Peter Szymon Serafinowicz,Liverpool,England,UK,1.92,
Ron Howard,1954-03-01,Ronald William Howard,Duncan,Oklahoma,USA,1.75,
Oscar De La Hoya,1973-02-04,,Montebello,California,USA,1.75,The Golden Boy
Ellen DeGeneres,1958-01-26,Ellen Lee DeGeneres,Metairie,Louisiana,USA,1.71,
Luke Perry,1966-10-11,Coy Luther Perry III,Mansfield,Ohio,USA,1.78,
Jay Mohr,1970-08-23,Jon Ferguson Mohr,Verona,New Jersey,USA,1.75,
Elisabeth Moss,1982-07-24,Elisabeth Singleton Moss,Los Angeles,California,USA,1.6,
