episode_id,keyword
S2-E10,devil
S2-E10,judge
S2-E10,trail
S2-E10,jury
S2-E10,lawyer
S2-E10,2d animation
S2-E10,quack doctor
S2-E10,spurious lawsuit
S2-E10,shyster
S2-E11,animal in episode title
S2-E11,fish in episode title
S2-E11,number in episode title
S2-E11,colour in episode title
S2-E11,color in episode title
S2-E11,pufferfish
S2-E11,bucket list
S2-E11,seven word episode title
S2-E11,comma in episode title
S2-E11,1930s to 2020s
S2-E11,24 hours to live
S2-E11,2d animation
S2-E11,hours to live
S2-E11,to do list
S2-E11,japanese restaurant
S2-E12,1930s to 2020s
S2-E12,prom
S2-E12,debate
S2-E12,guidance counselor
S2-E12,father son relationship
S2-E12,smoking
S2-E12,love at first sight
S2-E12,flashback
S2-E12,2d animation
S2-E12,bra burning
S2-E12,streaking
S2-E12,streaker
S2-E12,mooning
S2-E12,high school romance
S2-E12,high school prom
S2-E13,year 1991
S2-E13,1990s
S2-E13,1930s to 2020s
S2-E13,stealing
S2-E13,moses
S2-E13,cable guy
S2-E13,reference to the ten commandments
S2-E13,boxing
S2-E13,devil
S2-E13,religion
S2-E13,church
S2-E13,2d animation
S2-E14,1930s to 2020s
S2-E14,wedding
S2-E14,love at first sight
S2-E14,flashback
S2-E14,church
S2-E14,2d animation
S2-E15,comma in episode title
S2-E15,question in episode title
S2-E15,question mark in episode title
S2-E15,car company
S2-E15,motor car industry
S2-E15,1930s to 2020s
S2-E15,half brother
S2-E15,detroit michigan
S2-E15,learning of brother one didn't know existed
S2-E15,2d animation
S2-E16,animal in episode title
S2-E16,dog in episode title
S2-E16,1930s to 2020s
S2-E16,2d animation
S2-E17,1930s to 2020s
S2-E17,2d animation
S2-E17,skinner box
S2-E18,1930s to 2020s
S2-E18,2d animation
S2-E19,1930s to 2020s
S2-E19,reference to william shakespeare
S2-E19,2d animation
S2-E20,1930s to 2020s
S2-E20,2d animation
S2-E20,giant fish
S2-E21,1930s to 2020s
S2-E21,comic book
S2-E21,childhood flashback
S2-E21,reference to wonder woman
S2-E21,reference to lois lane
S2-E21,reference to superman
S2-E21,superhero costume
S2-E21,2d animation
S2-E21,number in title
S2-E22,1930s to 2020s
S2-E22,2d animation
S3-E1,pink shirt
S3-E1,banned episode
S3-E1,controversy
S3-E1,1930s to 2020s
S3-E1,mental hospital
S3-E1,michael jackson
S3-E1,2d animation
S3-E2,washington d.c.
S3-E2,1930s to 2020s
S3-E2,corruption
S3-E2,2d animation
S3-E2,vip
S3-E2,song
S3-E2,slingshot
S3-E2,scholarship
S3-E2,reading
S3-E2,politics
S3-E2,piano
S3-E2,monument
S3-E2,magazine
S3-E2,lincoln
S3-E2,jefferson
S3-E2,essay
S3-E2,check
S3-E2,bribe
S3-E3,1930s to 2020s
S3-E3,2d animation
S3-E3,schadenfreude
S3-E3,left handedness
S3-E4,nightmare
S3-E4,pinching cheek
S3-E4,character name in episode title
S3-E4,gangster
S3-E4,school trip
S3-E4,1930s to 2020s
S3-E4,2d animation
S3-E4,child accused of crime
S3-E4,presumed dead
S3-E4,framed for murder
S3-E5,character name in episode title
S3-E5,rubik's cube
S3-E5,nuclear meltdown
S3-E5,dictionary
S3-E5,employee of the month
S3-E5,good fortune
S3-E5,1930s to 2020s
S3-E5,2d animation
S3-E5,eeny meeny miny moe
S3-E6,dog
S3-E6,four word episode title
S3-E6,comma in episode title
S3-E6,rabbi
S3-E6,estranged father
S3-E6,dinner guest
S3-E6,radio phone in
S3-E6,1930s to 2020s
S3-E6,2d animation
S3-E6,priest
S3-E7,halloween episode
S3-E7,bonerland
S3-E7,1930s to 2020s
S3-E7,robot
S3-E7,jack in the box
S3-E7,magical power
S3-E7,alien
S3-E7,world peace
S3-E7,the monkey's paw
S3-E7,wish
S3-E7,totem pole costume
S3-E7,witch costume
S3-E7,executioner costume
S3-E7,halloween costume
S3-E7,trick or treat
S3-E7,2d animation
S3-E7,sleeping on the job
S3-E7,hit with a shovel
S3-E7,roman numeral in title
S3-E7,reference to frankenstein
S3-E7,breaking the fourth wall
S3-E7,evil child
S3-E7,grave robbing
S3-E7,grave digging
S3-E7,grave digger
S3-E7,two headed person
S3-E7,brain surgery
S3-E7,halloween
S3-E7,halloween spoof
S3-E8,character name in episode title
S3-E8,talent show
S3-E8,music store
S3-E8,father daughter relationship
S3-E8,second job
S3-E8,falling asleep on the job
S3-E8,falling asleep while driving
S3-E8,1930s to 2020s
S3-E8,pony
S3-E8,tail coat
S3-E8,2d animation
S3-E8,airbag
S3-E9,day in episode title
S3-E9,soapbox racing
S3-E9,father son relationship
S3-E9,reference to bill cosby
S3-E9,reference to the fonz
S3-E9,shark attack
S3-E9,welding
S3-E9,1930s to 2020s
S3-E9,2d animation
S3-E9,killed on the day before one's retirement
S3-E9,sole black character dies cliche
S3-E9,child smoking cigarette
S3-E9,cart racing
S3-E10,bartender
S3-E10,recipe
S3-E10,kiss
S3-E10,girl with braces
S3-E10,braces
S3-E10,beer
S3-E10,braces on teeth
S3-E10,flashback
S3-E10,fire
S3-E10,slide show
S3-E10,taking credit for another's work
S3-E10,sleepover
S3-E10,reference to the phantom of the opera
S3-E10,dare
S3-E10,reference to 'cheers' tv series
S3-E10,character name in episode title
S3-E10,1930s to 2020s
S3-E10,pickled eggs
S3-E10,2d animation
S3-E10,fictional drink
S3-E10,brassy woman
S3-E10,truth or dare
S3-E10,cough medicine
S3-E10,bleeped dialogue
S3-E11,german
S3-E11,laid off
S3-E11,puppet
S3-E11,stock broker
S3-E11,stock
S3-E11,stocks
S3-E11,beer
S3-E11,business deal
S3-E11,jigsaw puzzle
S3-E11,imagination
S3-E11,character name in episode title
S3-E11,1930s to 2020s
S3-E11,2d animation
S3-E11,german stereotype
S3-E11,german accent
S3-E12,flashback
S3-E12,character name in episode title
S3-E12,reference to star wars
S3-E12,mini golf
S3-E12,sex in public
S3-E12,onion ring
S3-E12,fraternity brother
S3-E12,job interview
S3-E12,pregnancy test
S3-E12,spoiler
S3-E12,1930s to 2020s
S3-E12,birth
S3-E12,pregnancy
S3-E12,ms. pac man
S3-E12,conception
S3-E12,2d animation
S3-E12,baby born
S3-E12,giving birth
S3-E12,childbirth
S3-E12,expectant father
S3-E12,expectant mother
S3-E12,pregnant wife
S3-E12,discovering one is pregnant
S3-E12,pregnant bride
S3-E13,character name in episode title
S3-E13,trapped in a well
S3-E13,charity song
S3-E13,birthday
S3-E13,prank
S3-E13,canary
S3-E13,microphone
S3-E13,1930s to 2020s
S3-E13,reference to jessica mcclure
S3-E13,2d animation
S3-E14,character name in episode title
S3-E14,gambling
S3-E14,football
S3-E14,superbowl
S3-E14,clothes shopping
S3-E14,father daughter relationship
S3-E14,1930s to 2020s
S3-E14,2d animation
S3-E15,character name in episode title
S3-E15,reference to home alone
S3-E15,nervous breakdown
S3-E15,underappreciated parent
S3-E15,bowling ball
S3-E15,health spa
S3-E15,tongue
S3-E15,lost baby
S3-E15,massage
S3-E15,prank call
S3-E15,1930s to 2020s
S3-E15,2d animation
S3-E16,character name in episode title
S3-E16,yo yo
S3-E16,personal ad
S3-E16,love letter
S3-E16,reference to woodrow wilson
S3-E16,reference to gordie howe
S3-E16,educational film
S3-E16,1930s to 2020s
S3-E16,swear jar
S3-E16,2d animation
S3-E16,black teddy
S3-E16,zinc
S3-E16,priest
S3-E16,stood up
S3-E17,character name in episode title
S3-E17,wrongful imprisonment
S3-E17,hypnosis
S3-E17,bar fight
S3-E17,1930s to 2020s
S3-E17,baseball
S3-E17,elixir
S3-E17,reference to negro league baseball
S3-E17,radiation poisoning
S3-E17,reference to george steinbrenner
S3-E17,kitchen sink realism
S3-E17,2d animation
S3-E17,sports stringer
S3-E18,aptitude test
S3-E18,rebellion
S3-E18,smoking in toilet
S3-E18,underage smoking
S3-E18,theft
S3-E18,police ridealong
S3-E18,armed robbery
S3-E18,1930s to 2020s
S3-E18,2d animation
S3-E19,animal in episode title
S3-E19,dog in episode title
S3-E19,lottery
S3-E19,lottery ticket
S3-E19,dog
S3-E19,lottery winner
S3-E19,veterinarian
S3-E19,tight budget
S3-E19,attack dog
S3-E19,encyclopedia
S3-E19,bad haircut
S3-E19,lost dog poster
S3-E19,1930s to 2020s
S3-E19,2d animation
S3-E19,reference to copernicus
S3-E20,character name in episode title
S3-E20,country music
S3-E20,singing waitress
S3-E20,marital problems
S3-E20,grinding teeth
S3-E20,recording studio
S3-E20,redneck bar
S3-E20,cinema
S3-E20,spoiler
S3-E20,white suit
S3-E20,hee haw
S3-E20,reference to buddy holly
S3-E20,trailer park
S3-E20,1930s to 2020s
S3-E20,2d animation
S3-E21,two word episode title
S3-E21,color in episode title
S3-E21,colour in episode title
S3-E21,attempted murder
S3-E21,anosmia
S3-E21,dirty joke
S3-E21,reference to the elephant man
S3-E21,gas leak
S3-E21,1930s to 2020s
S3-E21,2d animation
S3-E21,post coital scene
S3-E21,leg spreading
S3-E21,consummation of marriage
S3-E21,consummation
S3-E21,sham marriage
S3-E21,reference to the buddha
S3-E22,character name in episode title
S3-E22,electric guitar
S3-E22,eviction
S3-E22,tinnitus
S3-E22,drum solo
S3-E22,riot
S3-E22,1930s to 2020s
S3-E22,2d animation
S3-E22,department of motor vehicles
S3-E22,spinal tap (band)
S3-E22,palindrome
S3-E22,crossover
S3-E22,unwanted guest
S3-E23,character name in episode title
S3-E23,magic 8 ball
S3-E23,sex education
S3-E23,braces
S3-E23,catholic school
S3-E23,first kiss
S3-E23,vocabulary
S3-E23,trying to lose weight
S3-E23,1930s to 2020s
S3-E23,boudoir
S3-E23,2d animation
S3-E23,reference to shakespeare's romeo and juliet
S3-E23,nun
S3-E24,six word episode title
S3-E24,comma in episode title
S3-E24,question in episode title
S3-E24,question mark in episode title
S3-E24,1930s to 2020s
S3-E24,radiation
S3-E24,sperm
S3-E24,settlement
S3-E24,ceremony
S3-E24,baby
S3-E24,half brother
S3-E24,question in title
S3-E24,question mark in title
S3-E24,comma in title
S3-E24,2d animation
S3-E24,trophy
S3-E24,translator
S3-E24,sterile
S3-E24,punched in the face
S3-E24,physical exam
S3-E24,monopoly
S3-E24,reference to mickey mouse
S3-E24,lawyer
S3-E24,homelessness
S3-E24,excellence
S3-E24,crying
S3-E24,couch
S3-E24,bridge
S3-E24,bar
S3-E24,bar fight
S3-E24,number in title
S4-E1,episode title spoken by character
S4-E1,unruly child
S4-E1,1930s to 2020s
S4-E1,two word episode title
S4-E1,alliterative episode title
S4-E1,school nurse
S4-E1,third nipple
S4-E1,intentionally misspelled title
S4-E1,summer camp
S4-E1,child labor
S4-E2,community theater
S4-E2,play
S4-E2,marriage
S4-E2,father son relationship
S4-E2,mother daughter relationship
S4-E2,father daughter relationship
S4-E2,mother son relationship
S4-E2,1930s to 2020s
S4-E2,2d animation
S4-E2,tennessee williams
S4-E3,statue of ganesh the hindu deity
S4-E3,1930s to 2020s
S4-E3,depiction of god
S4-E3,2d animation
S4-E3,snake handler
S4-E4,1930s to 2020s
S4-E4,cigarette smoking
S4-E4,blimp crash
S4-E4,hairdo
S4-E4,waxworks
S4-E4,reference to dr. ruth westheimer
S4-E4,beauty queen
S4-E4,character appears on front page of a newspaper
S4-E4,parade float
S4-E4,watching news on tv
S4-E4,scepter
S4-E4,eyelashes
S4-E4,clown face
S4-E4,struck by lightning
S4-E4,news report
S4-E4,reference to jack nicklaus
S4-E4,compliment
S4-E4,high five
S4-E4,character name in episode title
S4-E4,child beauty pageant
S4-E4,2d animation
S4-E4,haggis
S4-E4,child smoking cigarette
S4-E5,halloween episode
S4-E5,king kong character
S4-E5,1930s to 2020s
S4-E5,giant ape
S4-E5,alien
S4-E5,cemetery
S4-E5,pirate costume
S4-E5,birthday party
S4-E5,halloween costume
S4-E5,nudity
S4-E5,2d animation
S4-E5,reference to george washington
S4-E5,reference to william shakespeare
S4-E5,attempted murder
S4-E5,seemingly beheaded
S4-E5,shotgun
S4-E5,subtitled scene
S4-E5,statue of liberty costume
S4-E5,zombie spoof
S4-E5,black and white scene
S4-E5,flesh eating zombie
S4-E5,killer doll
S4-E5,killer clown
S4-E5,evil clown
S4-E5,zombie
S4-E5,halloween spoof
S4-E5,undead
S4-E5,new york
S4-E5,living dead
S4-E5,halloween
S4-E5,halloween party
S4-E5,flesh eater
S4-E5,film parody
S4-E5,expedition
S4-E5,evil doll
S4-E5,brain eating
S4-E5,book of the dead
S4-E5,black magic
S4-E5,anthology
S4-E5,1930s
S4-E6,1930s to 2020s
S4-E6,2d animation
S4-E6,airbag
S4-E6,north korea
S4-E6,soylent green
S4-E6,obscene finger gesture
S4-E6,dog driving car
S4-E6,child driving car
S4-E7,1930s to 2020s
S4-E7,boy who cried wolf
S4-E7,reference to madame curie
S4-E7,2d animation
S4-E7,pneumatic tube
S4-E7,tourette's syndrome
S4-E7,wolf attack
S4-E7,sexual harassment
S4-E8,1930s to 2020s
S4-E8,wet willy
S4-E8,kiss
S4-E8,ripping out a heart
S4-E8,2d animation
S4-E8,heart ripped out
S4-E8,head in toilet
S4-E9,episode title spoken by character
S4-E9,1930s to 2020s
S4-E9,2d animation
S4-E9,shooting out tire
S4-E9,snowplow
S4-E9,baby costume
S4-E9,shooting tires
S4-E9,competing businesses
S4-E9,television commercial
S4-E9,rope bridge
S4-E10,1930s to 2020s
S4-E10,year 1983
S4-E10,2d animation
S4-E10,expectant father
S4-E10,expectant mother
S4-E10,year 1984
S4-E10,baby born
S4-E10,giving birth
S4-E10,childbirth
S4-E10,birth
S4-E10,pregnant wife
S4-E10,pregnancy
S4-E10,discovering one is pregnant
S4-E10,rockettes
S4-E10,famous opening scene
S4-E10,new baby
S4-E11,1930s to 2020s
S4-E11,2d animation
S4-E12,1930s to 2020s
S4-E12,monorail
S4-E12,2d animation
S4-E12,con artist
S4-E12,comeuppance
S4-E12,keys locked in a vehicle
S4-E13,1930s to 2020s
S4-E13,2d animation
S4-E13,ham radio
S4-E13,aunt niece relationship
S4-E13,aunt nephew relationship
S4-E13,video will
S4-E13,deliberately bad dubbing
S4-E13,funeral
S4-E14,planet in episode title
S4-E14,1930s to 2020s
S4-E14,2d animation
S4-E14,child smoking cigarette
S4-E15,valentine's day episode
S4-E15,1930s to 2020s
S4-E15,2d animation
S4-E15,reference to george washington
S4-E15,price gouging
S4-E15,heart ripped out
S4-E15,valentine's day
S4-E15,bleeped dialogue
S4-E16,1930s to 2020s
S4-E16,alcoholics anonymous
S4-E16,2d animation
S4-E16,reference to princess diana
S4-E16,breathalyzer
S4-E16,giant tomato
S4-E16,giant vegetable
S4-E16,giant spider
S4-E16,drunk driving
S4-E17,turned out pocket
S4-E17,dentist
S4-E17,1930s to 2020s
S4-E17,strike
S4-E17,2d animation
S4-E17,dental braces
S4-E18,1930s to 2020s
S4-E18,2d animation
S4-E18,clip show
S4-E18,april fool's day
S4-E19,reference to theodore roosevelt
S4-E19,1930s to 2020s
S4-E19,2d animation
S4-E19,fur coat
S4-E19,escalator accident
S4-E19,rock paper scissors
S4-E19,ghost writer
S4-E19,harvard versus yale
S4-E19,high school reunion
S4-E20,day in episode title
S4-E20,1930s to 2020s
S4-E20,snake
S4-E20,scottish accent
S4-E20,school expulsion
S4-E20,monster
S4-E20,additive
S4-E20,2d animation
S4-E21,1930s to 2020s
S4-E21,2d animation
S4-E21,conjugal visit
S4-E21,speaking in tongues
S4-E21,women's prison
S4-E22,cancelation
S4-E22,cutout animation
S4-E22,ventriloquist
S4-E22,reference to greta garbo
S4-E22,1930s to 2020s
S4-E22,ventriloquist's dummy
S4-E22,half brother
S4-E22,comeback
S4-E22,2d animation
S4-E22,reference to steve allen
S4-E22,intentionally misspelled title
S4-E22,euro animation
S5-E1,1930s to 2020s
S5-E1,barbershop quartet
S5-E1,abbey road album cover recreation
S5-E1,year 1986
S5-E1,2d animation
S5-E2,cigar smoking
S5-E2,1930s to 2020s
S5-E2,parole
S5-E2,1982 knoxville international energy exhibition
S5-E2,stepping on a rake
S5-E2,2d animation
S5-E2,nazi uniform
S5-E2,swastika
S5-E2,parolee
S5-E2,neo nazi
S5-E2,homicidal maniac
S5-E2,witness protection program
S5-E3,1930s to 2020s
S5-E3,nerd
S5-E3,four word title
S5-E3,television
S5-E3,taxi
S5-E3,lighter
S5-E3,nuclear bomb
S5-E3,hand grenade
S5-E3,cartoon cat
S5-E3,cartoon mouse
S5-E3,plastic
S5-E3,dynamite
S5-E3,cartoon animal
S5-E3,cat
S5-E3,mouse
S5-E3,2d animation
S5-E3,pig
S5-E3,fingernails on chalkboard
S5-E3,dungeons and dragons
S5-E3,prank gone wrong
S5-E3,escape pod
S5-E3,manic laughter
S5-E4,1930s to 2020s
S5-E4,teddy bear
S5-E4,2d animation
S5-E4,reference to mark twain
S5-E4,whistler's mother
S5-E4,roast ceremony
S5-E5,halloween episode
S5-E5,nightmare
S5-E5,pacifier
S5-E5,1930s to 2020s
S5-E5,donut
S5-E5,devil
S5-E5,gremlin
S5-E5,vampire
S5-E5,school bus
S5-E5,demon
S5-E5,satan
S5-E5,selling soul
S5-E5,halloween
S5-E5,vampire bat
S5-E5,blood
S5-E5,dracula spoof
S5-E5,alien
S5-E5,hell
S5-E5,philadelphia flyers
S5-E5,ergonomic chair
S5-E5,reference to adam and eve
S5-E5,reference to blackbeard
S5-E5,reference to john wilkes booth
S5-E5,reference to benedict arnold
S5-E5,reference to john dillinger
S5-E5,reference to lizzie borden
S5-E5,deal with the devil
S5-E5,soul selling
S5-E5,2d animation
S5-E5,halloween spoof
S5-E6,1930s to 2020s
S5-E6,husband wife relationship
S5-E6,what happened to epilogue
S5-E6,friendship between women
S5-E6,2d animation
S5-E7,1930s to 2020s
S5-E7,self help guru
S5-E7,breaking the fourth wall
S5-E7,trampoline
S5-E7,2d animation
S5-E7,eating whipped cream from the can
S5-E7,whipped cream
S5-E7,whipped cream in pressurized can
S5-E7,bleeped dialogue
S5-E8,1930s to 2020s
S5-E8,boy scouts
S5-E8,2d animation
S5-E8,intentionally misspelled title
S5-E9,1930s to 2020s
S5-E9,2d animation
S5-E9,talking fish
S5-E9,red dress
S5-E9,pneumatic tube
S5-E9,guardian angel
S5-E9,fortune cookie
S5-E9,flying monkey
S5-E9,cockney accent
S5-E9,office romance
S5-E9,giant hand
S5-E10,comma in episode title
S5-E10,1930s to 2020s
S5-E10,slot machine
S5-E10,gambling casino
S5-E10,reference to howard hughes
S5-E10,long fingernails
S5-E10,2d animation
S5-E10,reference to liza minnelli
S5-E10,tripping
S5-E10,herpes
S5-E10,money in title
S5-E10,footstool
S5-E10,obsessive compulsive disorder
S5-E10,casino
S5-E10,anankastic personality disorder
S5-E10,james bond spoof
S5-E10,gambling addiction
S5-E10,intentionally misspelled title
S5-E11,1930s to 2020s
S5-E11,libertarian
S5-E11,libertarianism
S5-E11,2d animation
S5-E11,beatnik
S5-E12,1930s to 2020s
S5-E12,overnight sensation
S5-E12,meme
S5-E12,reference to spike lee
S5-E12,head in a jar
S5-E12,2d animation
S5-E12,flint michigan
S5-E12,cardboard box
S5-E12,catch phrase
S5-E12,box factory
S5-E12,disembodied head
S5-E12,disembodied celebrity heads
S5-E12,child star
S5-E13,hare krishna
S5-E13,1930s to 2020s
S5-E13,2d animation
S5-E13,twinkie
S5-E13,bleeped dialogue
S5-E14,1930s to 2020s
S5-E14,2d animation
S5-E15,character name in episode title
S5-E15,astronaut
S5-E15,buzz aldrin character
S5-E15,reference to mr. t
S5-E15,1930s to 2020s
S5-E15,2d animation
S5-E15,strauss also sprach zarathustra
S5-E16,1930s to 2020s
S5-E16,2d animation
S5-E16,priest
S5-E17,animal in episode title
S5-E17,1930s to 2020s
S5-E17,elephant
S5-E17,tar pit
S5-E17,2d animation
S5-E17,animal in title
S5-E17,reference to edward g. robinson
S5-E17,taser
S5-E18,1930s to 2020s
S5-E18,near death experience
S5-E18,heir
S5-E18,audition
S5-E18,2d animation
S5-E18,reference to richard simmons
S5-E18,surrealism
S5-E18,fired from the job
S5-E18,lie
S5-E18,flashback
S5-E18,fantasy episode
S5-E18,deprogramming
S5-E18,cockney accent
S5-E18,child driving car
S5-E18,last will and testament
S5-E18,vandalism
S5-E18,trapdoor
S5-E18,show within a show
S5-E18,nuclear power plant
S5-E18,manipulation
S5-E18,legacy
S5-E18,faked footage
S5-E18,brainwashing
S5-E18,boss
S5-E19,1930s to 2020s
S5-E19,2d animation
S5-E19,100th episode
S5-E19,air duct
S5-E19,laundromat
S5-E19,kick me sign
S5-E19,boot camp
S5-E19,beatnik
S5-E20,1930s to 2020s
S5-E20,party
S5-E20,jury
S5-E20,birthday party
S5-E20,2d animation
S5-E20,false accusation
S5-E20,witness
S5-E20,skipping school
S5-E20,lawyer
S5-E20,judge
S5-E20,hotel
S5-E20,courtroom
S5-E21,1930s to 2020s
S5-E21,2d animation
S5-E22,1930s to 2020s
S5-E22,education
S5-E22,2d animation
S5-E22,flashback
S5-E22,unreliable flashback
S5-E22,teacher
S5-E22,poker
S5-E22,new job
S5-E22,invasion of privacy
S5-E22,gossip
S5-E22,gambling
S5-E22,anecdote
S6-E1,1930s to 2020s
S6-E1,2d animation
S6-E2,1930s to 2020s
S6-E2,diorama
S6-E2,british stereotype
S6-E2,2d animation
S6-E2,dream within a dream within a dream
S6-E2,dream sequence within a dream sequence
S6-E2,popularity
S6-E2,schoolgirl
S6-E2,saxophone
S6-E2,rivalry
S6-E2,jealousy
S6-E3,1930s to 2020s
S6-E3,2d animation
S6-E3,clip show
S6-E4,episode title spoken by character
