,year,category,award,person,episode_id
449,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Max Pross,S12-E9
450,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),David Mirkin,S12-E9
451,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Richard Raynis,S12-E9
452,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Bonita Pietila,S12-E9
453,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Denise Sirkot,S12-E9
454,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Richard Sakai,S12-E9
455,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Jim Reardon,S12-E9
456,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Mike B. Anderson,S12-E9
457,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),John W. Hyde,S12-E9
458,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Jon F. Vein,S12-E9
459,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),John Bush,S12-E9
460,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Michael Wolf,S12-E9
461,2001,Primetime Emmy,Outstanding Animated Program (For Programming Less Than One Hour),Laurie Biernacki,S12-E9
462,2001,Primetime Emmy,Outstanding Voice-Over Performance,Hank Azaria,S12-E11
464,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,S11-E22
465,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,S11-E22
466,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Al Jean,S11-E22
467,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,S11-E22
468,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),George Meyer,S11-E22
469,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Scully,S11-E22
470,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Dan Greaney,S11-E22
471,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Frank Mula,S11-E22
472,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ian Maxtone-Graham,S11-E22
473,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Rob LaZebnik,S11-E22
474,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ron Hauge,S11-E22
475,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Julie Thacker,S11-E22
476,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Larina Jean Adamson,S11-E22
477,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bonita Pietila,S11-E22
478,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Carolyn Omine,S11-E22
479,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Denise Sirkot,S11-E22
480,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Don Payne,S11-E22
481,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Raynis,S11-E22
482,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,S11-E22
483,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Tom Martin,S11-E22
484,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),John Frink,S11-E22
485,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Larry Doyle,S11-E22
486,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Selman,S11-E22
487,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Pritchard,S11-E22
488,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Lolee Aries,S11-E22
489,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Michael Wolf,S11-E22
490,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Tim Long,S11-E22
491,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jim Reardon,S11-E22
492,2000,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mark Kirkland,S11-E22
531,1998,Primetime Emmy,Outstanding Music and Lyrics,Alf Clausen,S9-E1
532,1998,Primetime Emmy,Outstanding Music and Lyrics,Ken Keeler,S9-E1
533,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Scully,S9-E22
534,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,S9-E22
535,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,S9-E22
536,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,S9-E22
537,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),George Meyer,S9-E22
538,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David X. Cohen,S9-E22
539,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Appel,S9-E22
540,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Dan Greaney,S9-E22
541,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ron Hauge,S9-E22
542,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Donick Cary,S9-E22
543,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Colin A.B.V. Lewis,S9-E22
544,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bonita Pietila,S9-E22
545,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),J. Michael Mendel,S9-E22
546,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Raynis,S9-E22
547,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,S9-E22
548,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Denise Sirkot,S9-E22
549,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ian Maxtone-Graham,S9-E22
550,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Mirkin,S9-E22
551,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jace Richdale,S9-E22
552,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bill Oakley,S9-E22
553,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Josh Weinstein,S9-E22
554,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Phil Roman,S9-E22
555,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Lolee Aries,S9-E22
556,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Michael Wolf,S9-E22
557,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Brian Scully,S9-E22
558,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Julie Thacker,S9-E22
559,1998,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jim Reardon,S9-E22
560,1998,Primetime Emmy,Outstanding Voice-Over Performance,Hank Azaria,desconocido
563,1997,Primetime Emmy,Outstanding Music and Lyrics,Alf Clausen,S8-E5
564,1997,Primetime Emmy,Outstanding Music and Lyrics,Ken Keeler,S8-E5
565,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bill Oakley,S8-E15
566,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Josh Weinstein,S8-E15
567,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,S8-E15
568,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,S8-E15
569,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,S8-E15
570,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Scully,S8-E15
571,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),George Meyer,S8-E15
572,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Steve Tompkins,S8-E15
573,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Phil Roman,S8-E15
574,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jonathan Collier,S8-E15
575,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ken Keeler,S8-E15
576,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David X. Cohen,S8-E15
577,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Appel,S8-E15
578,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),J. Michael Mendel,S8-E15
579,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Raynis,S8-E15
580,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Silverman,S8-E15
581,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,S8-E15
582,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Denise Sirkot,S8-E15
583,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Colin A.B.V. Lewis,S8-E15
584,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Mirkin,S8-E15
585,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ian Maxtone-Graham,S8-E15
586,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Dan McGrath,S8-E15
587,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bill Schultz,S8-E15
588,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Michael Wolf,S8-E15
589,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike B. Anderson,S8-E15
590,1997,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Ron Hauge,S8-E15
625,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Mirkin,S6-E19
626,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,S6-E19
627,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,S6-E19
628,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,S6-E19
629,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jace Richdale,S6-E19
630,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),George Meyer,S6-E19
631,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),J. Michael Mendel,S6-E19
632,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Greg Daniels,S6-E19
633,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bill Oakley,S6-E19
634,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Sacks,S6-E19
635,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Josh Weinstein,S6-E19
636,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jonathan Collier,S6-E19
637,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Raynis,S6-E19
638,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,S6-E19
639,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Scully,S6-E19
640,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Silverman,S6-E19
641,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Al Jean,S6-E19
642,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Reiss,S6-E19
643,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Phil Roman,S6-E19
644,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Bill Schultz,S6-E19
645,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Michael Wolf,S6-E19
646,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jim Reardon,S6-E19
647,1995,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),20th Century Fox Television,S6-E19
658,1993,Primetime Emmy,Outstanding Voice-Over Performance,Dan Castellaneta,S4-E9
664,1992,Primetime Emmy,Outstanding Voice-Over Performance,Nancy Cartwright,S3-E18
665,1992,Primetime Emmy,Outstanding Voice-Over Performance,Jackie Mason,S3-E6
666,1992,Primetime Emmy,Outstanding Voice-Over Performance,Julie Kavner,S3-E12
667,1992,Primetime Emmy,Outstanding Voice-Over Performance,Yeardley Smith,S3-E14
668,1992,Primetime Emmy,Outstanding Voice-Over Performance,Marcia Wallace,S3-E16
669,1992,Primetime Emmy,Outstanding Voice-Over Performance,Dan Castellaneta,S3-E8
690,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,desconocido
691,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,desconocido
692,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,desconocido
693,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Al Jean,desconocido
694,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Reiss,desconocido
695,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Jay Kogen,desconocido
696,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Wallace Wolodarsky,desconocido
697,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,desconocido
698,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Larina Jean Adamson,desconocido
699,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),George Meyer,desconocido
700,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Gabor Csupo,desconocido
701,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sherry Gunther,desconocido
702,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Steve Pepoon,desconocido
703,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Rich Moore,desconocido
704,1991,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),20th Century Fox Television,desconocido
709,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),James L. Brooks,desconocido
710,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Matt Groening,desconocido
711,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Sam Simon,desconocido
712,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Richard Sakai,desconocido
713,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Al Jean,desconocido
714,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Mike Reiss,desconocido
715,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Larina Jean Adamson,desconocido
716,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Margot Pipkin,desconocido
717,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Gabor Csupo,desconocido
718,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),David Silverman,desconocido
719,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),John Swartzwelder,desconocido
720,1990,Primetime Emmy,Outstanding Animated Program (For Programming One Hour or Less),Gracie Films,desconocido
